Sku_id,Desc,Vendor,Zone,Aisle,Bay,Sell_unit,Pack_1,Pack_2,Pack_3,DOFT
NUD35457,"FRAME,""L"",5X7,CLEAR",NUD,B,28,26,EA,EA,,,1995/4/2
NUD35481,"FRAME,""L"",8X10,CLEAR",NUD,B,28,26,EA,EA,,,1995/4/2
NUD37035,"FRAME,LUCITE,VELCRO,3.5X5",NUD,B,28,26,EA,EA,,,1995/4/30
NUD37046,"FRAME,LUCITE,VELCRO,4X6",NUD,B,28,26,EA,EA,,,1995/4/2
NUD37057,"FRAME,LUCITE,VELCRO,5X7",NUD,B,19,WA,EA,EA,,,1996/7/8
NUD37080,"FRAME,LUCITE,VELCRO,8X10",NUD,B,28,26,EA,EA,,,1996/12/16
NUD37085,"FRAME,LUCITE,VELCRO,8.5X11",NUD,B,28,26,EA,EA,,,1995/4/2
NUD38008,"HOLDER,SIGN,WALL,8.5HX11W",NUD,B,28,26,EA,EA,,,1995/4/2
NUD38011,"HOLDER,SIGN,WALL,8.5WX11H",NUD,B,28,26,EA,EA,,,1995/4/2
NUD38020,"HOLDER,STAND-UP,8.5X11",NUD,B,28,27,EA,EA,,,1995/4/2
NUD40210,"SCREEN BUDDY,WRITE ON W/PEN",NUD,B,28,27,EA,EA,PK,,1995/4/2
NUD40230,"SCREEN BUDDY,CORK BOARD",NUD,B,28,27,EA,EA,PK,,1995/4/2
NUD40240,"SCREEN BUDDY,PHOTO,BLACK",NUD,B,28,27,EA,EA,PK,,1995/4/30
NUD40310,"SCREEN W/FILTER,WRITE-ON",NUD,B,28,27,EA,EA,BX,,1995/10/29
NUD40330,"SCREEN W/FILTER,CORK",NUD,B,28,27,EA,EA,BX,,1996/1/29
NUD40340,"SCREEN,W/FILTER,PHOTO",NUD,B,28,27,EA,EA,BX,,1996/1/29
NUD50400,"SIGN,OPEN/CLOSED,BLK",NUD,B,28,28,EA,EA,,,1995/4/2
NUD50405,"SIGN,OPEN/CLOSED,BLK",NUD,B,28,28,EA,EA,,,1996/9/30
NUK163TL,"TAPE,L/O,OLIVETTI PRAXIS",NUK,B,1,10,BX,EA,BX,,1995/4/2
NUK182TLD,"TAPE,L/O,TF,XER MEMWRTR 610",NUK,B,1,10,BX,EA,BX,,1995/4/2
NUK184TL,"TAPE,L/O,XER MEMWRTR 610",NUK,B,1,10,BX,EA,BX,,1995/4/2
NUK192LT,"TAPE,L/O,IBM WHEELWRITER",NUK,B,1,10,EA,EA,BX,,1995/4/2
NUK234TL,"TAPE,L/O,TF,SHR-PA3100",NUK,B,1,10,BX,EA,BX,,1995/4/2
NUK258TL,"TAPE,L/O,OLI ET2200",NUK,B,1,11,EA,EA,BX,,1995/4/2
NUK262-5-1/2,"ROLL,CARBON,REGIS,5.5"",2PLY",NUK,B,1,11,EA,EA,,,1995/4/2
NUK262-7,"ROLL,CARBON,REGIS,7""W,2PLY",NUK,B,1,11,EA,EA,,,1995/4/2
NUK262-7-1/2,"ROLL,CARBON,REGIS,7.5"",2PLY",NUK,B,1,11,EA,EA,,,1995/4/2
